"Sample_Label","Location","Transect_Core","core_depth_cm","predVWC","Cnts","core_diameter_cm","bulk_density","latitude","longitude"
"MBF _ T078_P1 _ 2.5","MBF","T078_P1",2.5,0.0473194142449173,14772.2090954205,5,1.12606247283911,31.90371,147.97528
"MBF _ T078_P1 _ 5","MBF","T078_P1",5,0.0468244908397826,13296.9732082034,5,1.399873145249,31.90371,147.97528
"MBF _ T078_P1 _ 7.5","MBF","T078_P1",7.5,0.0511819116523999,13984.2827310915,5,1.26426199471901,31.90371,147.97528
"MBF _ T078_P1 _ 10","MBF","T078_P1",10,0.0549769238613452,14446.0241529763,5,1.17578428105149,31.90371,147.97528
"MBF _ T078_P1 _ 12.5","MBF","T078_P1",12.5,0.0811336139446578,11640.0211182195,5,1.70848244188266,31.90371,147.97528
"MBF _ T078_P1 _ 15","MBF","T078_P1",15,0.0793128548908551,12808.8769673604,5,1.46190646452296,31.90371,147.97528
"MBF _ T078_P1 _ 17.5","MBF","T078_P1",17.5,0.08671376806511,11238.4625862625,5,1.79364051445139,31.90371,147.97528
"MBF _ T078_P1 _ 20","MBF","T078_P1",20,0.0838485620769985,11009.4330981679,5,1.85021589245674,31.90371,147.97528
"MBF _ T078_P1 _ 22.5","MBF","T078_P1",22.5,0.0984899156735629,11667.3606000202,5,1.68363512761843,31.90371,147.97528
"MBF _ T078_P1 _ 25","MBF","T078_P1",25,0.0877400600708272,11612.4251389744,5,1.70750924049031,31.90371,147.97528
"MBF _ T078_P1 _ 27.5","MBF","T078_P1",27.5,0.100043980207513,11731.9424508646,5,1.66761828195131,31.90371,147.97528
"MBF _ T078_P1 _ 30","MBF","T078_P1",30,0.106784175753929,11407.5300110799,5,1.73317064508524,31.90371,147.97528
"MBF _ T078_P1 _ 35","MBF","T078_P1",35,0.114297255827431,10940.9745839357,5,1.83351699792829,31.90371,147.97528
"MBF _ T078_P1 _ 40","MBF","T078_P1",40,0.141523068908106,10523.9542071223,5,1.90503628975009,31.90371,147.97528
"MBF _ T078_P1 _ 45","MBF","T078_P1",45,0.110302255912473,10390.6136761218,5,1.97189084199779,31.90371,147.97528
"MBF _ T078_P1 _ 50","MBF","T078_P1",50,0.132723765189616,10268.3099020125,5,1.97841831141258,31.90371,147.97528
"MBF _ T078_P1 _ 55","MBF","T078_P1",55,0.141798575544114,10375.7113407801,5,1.94158635311151,31.90371,147.97528
"MBF _ T078_P1 _ 60","MBF","T078_P1",60,0.111212620677096,10542.8511430884,5,1.9331275751652,31.90371,147.97528
"MBF _ T078_P1 _ 65","MBF","T078_P1",65,0.107405035787946,10766.0367638718,5,1.88283026045251,31.90371,147.97528
"MBF _ T078_P1 _ 70","MBF","T078_P1",70,0.0870428074797709,10996.0713123532,5,1.84991874445307,31.90371,147.97528
"MBF _ T078_P1 _ 75","MBF","T078_P1",75,0.072580536618787,11231.6402705255,5,1.81048898000076,31.90371,147.97528
"MBF _ T078_P1 _ 80","MBF","T078_P1",80,0.0732820342242719,12120.9872121391,5,1.611799541297,31.90371,147.97528
"MBF _ T078_P1 _ 85","MBF","T078_P1",85,0.072484668366832,11904.1613142125,5,1.65954526962812,31.90371,147.97528
"MBF _ T078_P1 _ 90","MBF","T078_P1",90,0.0728727817750232,11969.0630680171,5,1.64500327202938,31.90371,147.97528
"MBF _ T078_P1 _ 95","MBF","T078_P1",95,0.0724258463729879,11776.387273313,5,1.68763890885749,31.90371,147.97528
"MBF _ T078_P1 _ 104","MBF","T078_P1",104,0.0733175568281523,13098.0954074383,4.5,1.57590088294095,31.90371,147.97528
